country,hapiscore,income,energy,gini,gender
Armenia2007,0.488,7010,973.0,30.8,1.03
Australia2007,0.7290000000000001,40700,5870.0,34.9,1.02
Austria2007,0.7290000000000001,43900,4020.0,30.2,0.995
Azerbaijan2007,0.457,13500,1410.0,31.7,0.9940000000000001
Bahrain2007,0.609,42800,11200.0,40.0,1.06
Bangladesh2007,0.461,2220,179.0,32.8,0.73
Belarus2007,0.562,13600,2920.0,28.2,1.05
Belgium2007,0.722,41600,5340.0,28.7,1.04
Belize2007,0.645,7880,595.0,53.3,0.971
Benin2007,0.36700000000000005,1810,379.0,40.7,0.455
Bhutan2007,0.508,5630,367.0,38.6,0.451
Bolivia2007,0.563,4910,554.0,54.0,0.88
Bosnia and Herzegovina2007,0.49,9320,1410.0,33.3,0.973
Botswana2007,0.3655,13200,1060.0,62.3,1.12
Brazil2007,0.632,13300,1240.0,54.9,1.11
Bulgaria2007,0.384,14500,2670.0,33.7,1.06
Cambodia2007,0.41600000000000004,2330,254.0,42.0,0.738
Cameroon2007,0.435,2860,338.0,43.1,0.763
Canada2007,0.748,41600,8210.0,33.8,1.01
Chile2007,0.57,18500,1850.0,48.7,1.03
China2007,0.486,7260,1630.0,41.9,0.856
Colombia2007,0.614,10400,647.0,54.5,1.05
Comoros2007,0.39,2340,63.9,52.8,0.762
"Congo, Dem. Rep.2007",0.441,623,307.0,42.1,0.6559999999999999
"Congo, Rep.2007",0.4315,4760,325.0,47.9,0.8190000000000001
Costa Rica2007,0.743,12300,1020.0,49.1,1.08
Cote d'Ivoire2007,0.4495,2650,531.0,42.8,0.564
Croatia2007,0.5820000000000001,22200,2340.0,32.3,1.05
Cuba2007,0.542,6050,901.0,43.0,1.04
Cyprus2007,0.617,35600,2290.0,31.3,1.03
Czech Republic2007,0.65,28800,4470.0,26.4,1.02
Denmark2007,0.7829999999999999,46400,3620.0,25.8,1.03
Djibouti2007,0.496,2440,178.0,42.6,0.441
Dominican Republic2007,0.508,10500,780.0,49.3,1.09
Ecuador2007,0.5,8820,742.0,51.4,1.04
Egypt2007,0.5539999999999999,8990,889.0,31.5,0.778
El Salvador2007,0.53,6200,733.0,46.4,0.96
Estonia2007,0.5329999999999999,27400,4240.0,32.3,1.08
Eswatini2007,0.431,7920,406.0,51.8,1.01
Ethiopia2007,0.44099999999999995,860,486.0,30.9,0.578
Finland2007,0.7555,42500,6970.0,27.8,1.05
France2007,0.6655,37700,4120.0,31.5,1.05
Gabon2007,0.466,16500,2560.0,41.5,0.9840000000000001
Gambia2007,0.475,1420,81.1,45.7,0.49700000000000005
Georgia2007,0.371,6530,866.0,37.7,1.04
Germany2007,0.642,40500,3990.0,31.0,1.01
Ghana2007,0.522,2650,273.0,42.6,0.746
Greece2007,0.665,32100,2730.0,34.2,1.03
Guatemala2007,0.633,6710,632.0,53.6,0.843
Guyana2007,0.599,5320,670.0,43.2,1.04
Haiti2007,0.3795,1610,387.0,54.8,0.7979999999999999
Honduras2007,0.51,3950,601.0,55.9,1.06
Hungary2007,0.495,23500,2660.0,29.0,1.03
Iceland2007,0.75,44600,14700.0,29.8,1.06
India2007,0.503,3850,485.0,34.4,0.636
Indonesia2007,0.51,7470,788.0,34.4,0.907
Iran2007,0.534,17500,2680.0,43.4,0.843
Iraq2007,0.466,11800,909.0,28.7,0.768
Ireland2007,0.7040000000000001,48700,3420.0,32.4,1.04
Israel2007,0.684,28700,2900.0,41.5,1.03
Italy2007,0.657,38600,3150.0,33.6,1.03
Jamaica2007,0.5800000000000001,8710,1510.0,45.5,1.06
Japan2007,0.624,36700,4010.0,32.0,1.02
Jordan2007,0.56,9420,1150.0,33.9,0.978
Kazakhstan2007,0.5720000000000001,18900,4270.0,29.6,1.03
Kenya2007,0.45799999999999996,2360,440.0,45.7,0.8740000000000001
Kuwait2007,0.618,96800,10500.0,40.0,1.03
Kyrgyz Republic2007,0.47,2600,561.0,33.0,1.03
Latvia2007,0.467,21900,2180.0,36.6,1.06
Lebanon2007,0.516,11500,886.0,31.8,1.04
Lesotho2007,0.3805,2100,9.56,53.1,1.27
Libya2007,0.5555,28600,2800.0,40.0,0.6759999999999999
Lithuania2007,0.581,22700,2930.0,35.6,1.04
Luxembourg2007,0.706,97900,8770.0,31.3,1.02
Malaysia2007,0.624,20000,2710.0,45.9,0.998
Maldives2007,0.52,12000,892.0,39.6,0.9259999999999999
Malta2007,0.645,27700,2160.0,28.9,1.01
Mauritius2007,0.5765,14100,1010.0,35.6,0.972
Mexico2007,0.653,16800,1660.0,47.9,0.971
Moldova2007,0.47700000000000004,4340,1170.0,34.7,1.07
Mongolia2007,0.461,7050,1380.0,35.0,1.1
Montenegro2007,0.52,13600,1930.0,30.6,0.997
Morocco2007,0.509,5850,500.0,40.6,0.664
Mozambique2007,0.483,846,421.0,46.1,0.5429999999999999
Myanmar2007,0.436,2820,316.0,38.1,1.01
Namibia2007,0.489,8390,681.0,62.1,1.05
Nepal2007,0.475,1750,353.0,39.1,0.456
